メガデンリュウ	45
ハラバリー	45
プクリン	45
ローブシン	45
メガドラミドロ	44
メガブリガロン	44
カミツオロチ	44
ドラミドロ	44
ケケンカニ	43
オトスパス	42
オニシズクモ	42
メガグソクムシャ	40
アリアドス	40
グソクムシャ	40
ドサイドン	40
バクーダ	40
フォレトス	40
オリーヴァ	39
クレベース(ヒスイのすがた)	38
メガジジーロン	36
ジジーロン	36
キョジオーン	35
ドヒドイデ	35
バンバドロ	35
ミカルゲ	35
メガケケンカニ	33
マッギョ	32
マッギョ(ガラルのすがた)	32
メガハガネール	30
メガヤドラン	30
メガユキノオー	30
カビゴン	30
タルップル	30
デスカーン	30
デスバーン	30
トリデプス	30
ハガネール	30
ヤドキング	30
ヤドキング(ガラルのすがた)	30
ヤドラン	30
ヤドラン(ガラルのすがた)	30
ランクルス	30
ブリムオン	29
フレフワン	29
ムシャーナ	29
クレベース	28
メガバクーダ	20
メガヤミラミ	20
コータス	20
バチンウニ	15
